username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
xFoxyGaming;2017-12-11 11:50;0;0;"Thanks @RETRotterdam dat er bij jullie bijna niet vertraging is Werkzaamheden bijv netjes in het weekend zodat t op de werkdagen gefixt is Good job RET";;Spijkenisse, Nederland;@RETRotterdam;;"940156897646260224";RET AND vertraging;https://twitter.com/xFoxyGaming/status/940156897646260224
9292;2017-12-11 08:52;0;0;"Op de site van RET heb ik nog niets kunnen lezen over vertraging , natuurlijk raad ik iedereen wel aan rekening te houden net vertraging ten gevolge van het winterweer. Zelfs onze planner heeft het lastig met deze drukte. ^Youp";;Utrecht;;;"940111966978347008";RET AND vertraging;https://twitter.com/9292/status/940111966978347008
JulianWorst;2017-12-14 23:46;0;0;"Ik heb nooit storingen met Ziggo";;;;;"941424082498867203";storingen;https://twitter.com/JulianWorst/status/941424082498867203
Jildert81;2017-12-14 22:52;0;0;"@ZiggoWebcare Geen internet in Groningen. Wel tv/telefoon. Alle stappen al doorlopen. Meer storingen hier?";;Groningen;@ZiggoWebcare;;"941410635094642688";storingen;https://twitter.com/Jildert81/status/941410635094642688
KPNwebcare;2017-12-14 22:16;0;0;"Hallo Floris, Dat is natuurlijk lastig als je helemaal geen diensten meer hebt. Op dit moment zijn er geen storingen bekend in Den Haag. De service tools werken niet door een storing aan onze kant. Heb je al geprobeerd het modem een herstart te geven? Mocht dit niet 1/2";;Nederland;;;"941401483584655362";storingen;https://twitter.com/KPNwebcare/status/941401483584655362
vodafoneNL;2017-12-14 21:54;0;0;"Hoi Bregt, wat vervelend dat je problemen ervaart. Alle storingen en werkzaamheden kun je via je postcode opvragen via https:// coverage.vodafone.nl . Heb je daar al gekeken? Ik kan de oplossing hiervan helaas niet versnellen. ^MK";;Amsterdam / Maastricht;;;"941395882100101120";storingen;https://twitter.com/vodafoneNL/status/941395882100101120
KingEdwin1970;2017-12-14 21:35;0;0;"@KPNwebcare belachelijk eigenlijk! Een communicatiebedrijf dat de hele dag een systeemerror heeft. En daarmee klanten met storingen niet kan helpen! En als je ze te pakken hebt krijg je allerlei rare fouten die bij jou kunnen liggen! #fail";;Nederland;@KPNwebcare;#fail;"941391106608123904";storingen;https://twitter.com/KingEdwin1970/status/941391106608123904
Middelburgbaan;2017-12-14 21:02;0;0;"#vacature Service Monteur TD: Bij een bedrijf in de machinebouw in de regio Breda, zijn we op zoek naar een: Service Monteur TD. De functie: Verrichten van reparaties en het onderhouden van de apparatuur; Oplossen van technische storingen in… http:// dlvr.it/Q5zBgH #Middelburg";;Middelburg;;#vacature #Middelburg;"941382802737467392";storingen;https://twitter.com/Middelburgbaan/status/941382802737467392
LianderNL;2017-12-14 20:26;0;0;"Hallo Birgit, inderdaad vervelend dat dit voor de derde keer gebeurd. Helaas komt dat met dit soort storingen nog wel eens voor. De verwachte eindtijd is nu 20.00 uur";;Arnhem, Netherlands;;;"941373965272076289";storingen;https://twitter.com/LianderNL/status/941373965272076289
Ilove_hollandia;2017-12-14 19:45;0;0;"Klanten zeggen @eneco op vanwege woekerprijzen voor energie en misleiding. Produkt #toon werkt slecht en vertoont heel veel storingen ! #TRAPERNIETIN ! @stephanbon @timstierman @guidodubbeld @AlexKaat @ErikvanEngelen #eneco #toon #energie #klacht #storing #slechteklantenservice pic.twitter.com/DBaF3DOyvx";;;@eneco @stephanbon @timstierman @guidodubbeld @AlexKaat @ErikvanEngelen;#toon #TRAPERNIETIN #eneco #toon #energie #klacht #storing #slechteklantenservice;"941363585552470018";storingen;https://twitter.com/Ilove_hollandia/status/941363585552470018
